N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
218,PLUS 고배당주,"19,530",상승170,+0.88%,0,"14,923","76,410",0.35,"1,387,687",N/A,N/A,
219,한일시멘트,"21,300",상승100,+0.47%,500,"14,753","69,262",4.54,"119,934",10.52,11.13,
220,한올바이오파마,"27,700",상승400,+1.47%,500,"14,471","52,241",5.09,"183,738",-865.62,-1.02,
221,효성,"86,300","상승1,800",+2.13%,"5,000","14,447","16,740",12.67,"33,824",2.97,19.62,
222,SK리츠,"4,915",상승15,+0.31%,500,"14,296","290,869",7.03,"211,949","1,228.75",0.08,
223,롯데관광개발,"17,890",하락460,-2.51%,500,"14,230","79,539",13.16,"1,133,253",-13.39,-60.42,
224,HDC,"23,700",상승300,+1.28%,"5,000","14,159","59,742",20.45,"755,894",7.35,5.65,
225,KODEX 삼성그룹,"10,070",상승5,+0.05%,0,"14,158","140,600",13.17,"479,330",N/A,N/A,
226,하이트진로,"20,050",상승190,+0.96%,"5,000","14,062","70,134",9.07,"100,088",13.28,8.63,
227,동양생명,"8,510",상승20,+0.24%,"5,000","13,732","161,359",81.37,"170,718",4.94,12.91,
228,금호타이어,"4,780",상승55,+1.16%,"5,000","13,731","287,260",7.29,"535,827",4.11,21.77,
229,현대지에프홀딩스,"8,760",상승410,+4.91%,500,"13,657","155,904",5.55,"267,661",1.67,23.02,
230,롯데에너지머티리얼즈,"25,950",상승50,+0.19%,500,"13,589","52,365",7.74,"110,876",-30.78,0.46,
231,GS리테일,"16,230",상승150,+0.93%,"1,000","13,569","83,607",8.96,"153,175",-60.11,0.07,
232,경동나비엔,"92,600",하락300,-0.32%,"1,000","13,491","14,569",10.48,"45,602",10.33,19.43,
233,코스모신소재,"41,450",상승50,+0.12%,"1,000","13,476","32,511",8.41,"502,050",90.11,3.62,
234,현대위아,"49,550",상승600,+1.23%,"5,000","13,475","27,195",14.92,"45,860",7.46,3.45,
235,ACE KRX금현물,"21,205",상승65,+0.31%,0,"13,296","62,700",0.66,"806,031",N/A,N/A,
236,TIGER 미국30년국채커버드콜액티브(H),"7,985",상승10,+0.13%,0,"13,283","166,350",0.03,"1,057,142",N/A,N/A,
237,TIGER 25-12 금융채(AA-이상),"51,470",보합0,0.00%,0,"13,158","25,564",0.00,321,N/A,N/A,
238,오리온홀딩스,"20,950",보합0,0.00%,500,"13,124","62,645",10.37,"83,002",8.60,7.03,
239,대웅,"22,250",상승50,+0.23%,500,"12,937","58,142",5.72,"86,018",20.54,5.99,
240,메리츠 KIS CD금리투자 ETN,"54,135",상승5,+0.01%,0,"12,911","23,850",0.00,"42,607",N/A,N/A,
241,미래에셋생명,"7,270",상승130,+1.82%,"5,000","12,869","177,016",1.26,"107,260",12.28,4.88,
242,SOL 조선TOP3플러스,"30,270",하락160,-0.53%,0,"12,759","42,150",0.39,"4,018,999",N/A,N/A,
243,SK오션플랜트,"21,150","하락1,000",-4.51%,500,"12,728","60,180",5.23,"708,799",75.00,2.34,
244,대신증권,"24,850",상승200,+0.81%,"5,000","12,617","50,773",9.67,"84,920",13.45,4.57,
245,LS에코에너지,"40,800",하락550,-1.33%,500,"12,495","30,625",4.76,"283,752",35.45,19.00,
246,KODEX 코스닥150,"13,395",상승85,+0.64%,0,"12,471","93,100",0.95,"3,295,610",N/A,N/A,
247,에스디바이오센서,"10,190",상승160,+1.60%,500,"12,406","121,749",6.33,"213,334",-11.95,-3.43,
248,PLUS K방산,"54,400",하락850,-1.54%,0,"12,349","22,700",0.71,"1,628,984",N/A,N/A,
249,한화투자증권,"5,680",상승40,+0.71%,"5,000","12,186","214,548",9.62,"625,746","-1,893.33",2.37,
250,롯데칠성,"129,300","하락2,600",-1.97%,500,"11,998","9,279",14.67,"32,061",26.78,3.99,
251,더블유게임즈,"55,400",상승100,+0.18%,500,"11,909","21,496",18.27,"31,697",6.83,18.69,
252,SK케미칼,"69,000","상승2,300",+3.45%,"5,000","11,905","17,254",11.07,"75,754",40.61,0.41,
253,LG화학우,"153,000","상승2,000",+1.32%,"5,000","11,764","7,689",39.96,"45,800",-12.81,N/A,
254,미래에셋증권2우B,"8,480",상승320,+3.92%,"5,000","11,660","137,500",15.82,"582,100",6.22,N/A,
255,LX인터내셔널,"30,000",상승400,+1.35%,"5,000","11,628","38,760",20.84,"113,041",5.95,7.12,
256,종근당,"82,500",하락700,-0.84%,"2,500","11,387","13,803",13.98,"26,069",11.95,12.76,
257,롯데리츠,"3,930",상승50,+1.29%,500,"11,356","288,969",7.70,"396,838",46.24,0.95,
258,쿠쿠홀딩스,"31,750",상승550,+1.76%,100,"11,291","35,562",12.12,"18,127",8.20,12.08,
259,KODEX 2차전지산업,"12,595",상승95,+0.76%,0,"11,285","89,600",0.23,"5,302,994",N/A,N/A,
260,대덕전자,"22,800",하락50,-0.22%,500,"11,267","49,417",8.60,"561,800",73.08,2.73,
